,ZIP,date,confirmed_cases,new_confirmed_cases,device_count,distance_traveled_from_home,completely_home_device_count,median_home_dwell_time,median_non_home_dwell_time,median_percentage_time_home,population,Land_Sq_Mi,Density_Per_Sq_Mile,cases_adjusted_by_pop,new_cases_adjusted_by_pop,places,Income_level,driving,transit,walking,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,first,last,low_income,middle_income,high_income,stay_home_ratio,new1day_after,new2day_after,new3day_after,new4day_after,new5day_after,new6day_after,new7day_after,new8day_after,new9day_after,new10day_after,new11day_after,ave_new7_10after,ave_new6_9after,ave_new8_11after
156,90291,2020/3/19,4,0,611,36373,195,703,58,92,27525,2,11018,0.000145322,0,"Venice,",2,59.1,36.73,53.2,-32,3,-30,-39,-35,18,2020/3/16,2020/5/27,FALSE,TRUE,FALSE,3.133333333,0,2,1,0,1,1,2,0,2,4,1,2,1.25,1.75
157,90403,2020/3/19,2,1,581,4240,199,758,29,96,24354,1,17054,8.21E-05,4.11E-05,"Santa Monica,",2,59.1,36.73,53.2,-32,3,-30,-39,-35,18,2020/3/16,2020/5/27,FALSE,TRUE,FALSE,2.91959799,2,1,2,5,4,2,3,7,10,3,6,5.75,5.5,6.5
158,90503,2020/3/19,2,0,1967,4334,782,940,21,98,44908,5,8478,4.45E-05,0,"Torrance,",2,59.1,36.73,53.2,-32,3,-30,-39,-35,18,2020/3/16,2020/5/27,FALSE,TRUE,FALSE,2.515345269,0,0,1,1,1,4,5,7,11,2,9,6.25,6.75,7.25
159,90602,2020/3/19,2,1,904,7143,324,775,53,94,25981,3,7001,7.70E-05,3.85E-05,"Whittier,",2,59.1,36.73,53.2,-32,3,-30,-39,-35,18,2020/3/19,2020/5/27,FALSE,TRUE,FALSE,2.790123457,0,0,0,0,1,0,0,1,2,2,0,1.25,0.75,1.25
160,90638,2020/3/19,3,0,2478,8927,835,762,81,90,49383,7,6275,6.07E-05,0,"La Mirada,East Whittier,",2,59.1,36.73,53.2,-32,3,-30,-39,-35,18,2020/3/16,2020/5/27,FALSE,TRUE,FALSE,2.967664671,0,0,0,0,0,1,1,1,1,1,0,1,1,0.75
161,90717,2020/3/19,5,4,768,5078,288,772,32,96,21696,1,10957,0.000230457,0.000184366,"Lomita,",2,59.1,36.73,53.2,-32,3,-30,-39,-35,18,2020/3/19,2020/5/27,FALSE,TRUE,FALSE,2.666666667,0,2,1,0,1,0,3,0,1,0,0,1,1,0.25
162,90731,2020/3/19,1,0,1952,7063,623,643,52,93,61850,9,6717,1.62E-05,0,"San Pedro,",2,59.1,36.73,53.2,-32,3,-30,-39,-35,18,2020/3/16,2020/5/27,FALSE,TRUE,FALSE,3.133226324,0,0,0,1,0,2,1,3,1,1,1,1.5,1.75,1.5
163,90746,2020/3/19,1,0,893,6557,320,544,44,93,26996,5,4628,3.70E-05,0,"Carson,",2,59.1,36.73,53.2,-32,3,-30,-39,-35,18,2020/3/16,2020/5/27,FALSE,TRUE,FALSE,2.790625,2,0,1,2,2,1,12,0,5,2,7,4.75,4.5,3.5
164,90755,2020/3/19,12,4,441,4667,155,801,33,96,11074,2,5082,0.001083619,0.000361206,"Long Beach,Signal Hill,",2,59.1,36.73,53.2,-32,3,-30,-39,-35,18,2020/3/16,2020/5/27,FALSE,TRUE,FALSE,2.84516129,2,1,2,2,9,13,13,17,18,11,7,14.75,15.25,13.25
165,91007,2020/3/19,2,0,1381,5619,606,1025,11,99,34523,5,6210,5.79E-05,0,"Arcadia,",2,59.1,36.73,53.2,-32,3,-30,-39,-35,18,2020/3/16,2020/5/27,FALSE,TRUE,FALSE,2.278877888,0,0,0,1,1,0,2,0,2,1,0,1.25,1,0.75
166,91030,2020/3/19,1,0,922,4384,346,891,29,97,25794,3,7562,3.88E-05,0,"South Pasadena,",2,59.1,36.73,53.2,-32,3,-30,-39,-35,18,2020/3/16,2020/5/27,FALSE,TRUE,FALSE,2.664739884,1,0,1,0,0,0,1,1,0,2,0,1,0.5,0.75
167,91042,2020/3/19,1,1,1155,8814,431,844,33,96,26631,49,533,3.76E-05,3.76E-05,"Tujunga,",2,59.1,36.73,53.2,-32,3,-30,-39,-35,18,2020/3/19,2020/5/27,FALSE,TRUE,FALSE,2.679814385,0,0,0,0,0,0,1,0,0,1,1,0.5,0.25,0.5
168,91104,2020/3/19,2,0,1058,4432,408,893,23,97,37974,3,9985,5.27E-05,0,"Pasadena,",2,59.1,36.73,53.2,-32,3,-30,-39,-35,18,2020/3/16,2020/5/27,FALSE,TRUE,FALSE,2.593137255,1,0,0,3,0,1,3,0,0,0,15,0.75,1,3.75
169,91208,2020/3/19,4,0,544,5452,193,1028,33,97,13538,3,3551,0.000295465,0,"Glendale,",2,59.1,36.73,53.2,-32,3,-30,-39,-35,18,2020/3/16,2020/5/27,FALSE,TRUE,FALSE,2.81865285,0,1,1,3,1,2,11,6,7,10,16,8.5,6.5,9.75
170,91302,2020/3/19,1,1,1515,4480,645,1097,14,99,26634,26,997,3.75E-05,3.75E-05,"Calabasas,Hidden Hills,",2,59.1,36.73,53.2,-32,3,-30,-39,-35,18,2020/3/19,2020/5/27,FALSE,TRUE,FALSE,2.348837209,0,0,1,1,1,0,1,2,3,0,1,1.5,1.5,1.5
171,91304,2020/3/19,3,0,2206,4838,857,792,31,96,53761,9,5716,5.58E-05,0,"West Hills,Canoga Park,Lake Manor,",2,59.1,36.73,53.2,-32,3,-30,-39,-35,18,2020/3/16,2020/5/27,FALSE,TRUE,FALSE,2.574095683,0,1,1,1,0,0,1,2,1,1,2,1.25,1,1.5
172,91316,2020/3/19,6,0,929,5076,382,850,22,97,29964,5,5984,0.00020024,0,"Encino,",2,59.1,36.73,53.2,-32,3,-30,-39,-35,18,2020/3/16,2020/5/27,FALSE,TRUE,FALSE,2.431937173,2,2,0,0,2,1,8,2,3,1,2,3.5,3.5,2
173,91330,2020/3/19,1,0,200,43159,10,0,1013,0,3273,0,9598,0.00030553,0,"Northridge,",2,59.1,36.73,53.2,-32,3,-30,-39,-35,18,2020/3/16,2020/5/27,FALSE,TRUE,FALSE,20,0,0,0,0,1,0,2,3,1,0,0,1.5,1.5,1
174,91335,2020/3/19,1,1,3226,4753,1259,732,26,97,80524,6,12265,1.24E-05,1.24E-05,"Reseda,Reseda Ranch,",2,59.1,36.73,53.2,-32,3,-30,-39,-35,18,2020/3/19,2020/5/27,FALSE,TRUE,FALSE,2.562351072,1,1,1,1,1,1,3,1,3,2,7,2.25,2,3.25
175,91342,2020/3/19,1,0,3486,8328,1247,737,49,94,96487,55,1750,1.04E-05,0,"Sylmar,",2,59.1,36.73,53.2,-32,3,-30,-39,-35,18,2020/3/18,2020/5/27,FALSE,TRUE,FALSE,2.795509222,0,0,0,0,0,0,1,2,4,7,3,3.5,1.75,4
176,91344,2020/3/19,4,1,2891,7105,1178,870,25,97,53266,16,3245,7.51E-05,1.88E-05,"Granada Hills,Newhall,",2,59.1,36.73,53.2,-32,3,-30,-39,-35,18,2020/3/16,2020/5/27,FALSE,TRUE,FALSE,2.454159593,0,0,0,1,0,2,1,0,0,0,1,0.25,0.75,0.25
177,91350,2020/3/19,3,1,2658,5290,1075,991,26,97,37350,16,2204,8.03E-05,2.68E-05,"Santa Clarita,",2,59.1,36.73,53.2,-32,3,-30,-39,-35,18,2020/3/17,2020/5/27,FALSE,TRUE,FALSE,2.47255814,1,0,0,3,0,3,6,8,8,6,3,7,6.25,6.25
178,91356,2020/3/19,5,0,1315,4678,550,1066,15,99,30804,7,4200,0.000162317,0,"Tarzana,",2,59.1,36.73,53.2,-32,3,-30,-39,-35,18,2020/3/16,2020/5/27,FALSE,TRUE,FALSE,2.390909091,1,1,1,0,1,0,5,3,2,4,1,3.5,2.5,2.5
179,91364,2020/3/19,3,0,1256,4048,458,858,30,97,27340,7,3600,0.000109729,0,"Woodland Hills,",2,59.1,36.73,53.2,-32,3,-30,-39,-35,18,2020/3/17,2020/5/27,FALSE,TRUE,FALSE,2.742358079,1,1,0,2,1,3,3,0,4,1,3,2,2.5,2
180,91381,2020/3/19,1,1,1329,6484,579,1118,17,99,20371,37,541,4.91E-05,4.91E-05,"Stevenson Ranch,",2,59.1,36.73,53.2,-32,3,-30,-39,-35,18,2020/3/19,2020/5/27,FALSE,TRUE,FALSE,2.295336788,0,0,0,1,0,0,1,1,0,0,0,0.5,0.5,0.25
181,91401,2020/3/19,1,1,1466,4268,546,824,26,97,41412,3,11993,2.41E-05,2.41E-05,"Valley Glen,",2,59.1,36.73,53.2,-32,3,-30,-39,-35,18,2020/3/19,2020/5/27,FALSE,TRUE,FALSE,2.684981685,2,3,0,1,2,2,1,1,1,1,0,1,1.25,0.75
182,91405,2020/3/19,1,1,1994,5627,770,675,38,95,55384,3,16737,1.81E-05,1.81E-05,"Van Nuys,Twin Lakes/Oat Mountain,",1,59.1,36.73,53.2,-32,3,-30,-39,-35,18,2020/3/19,2020/5/27,TRUE,FALSE,FALSE,2.58961039,0,1,0,2,0,0,0,0,2,1,3,0.75,0.5,1.5
183,91423,2020/3/19,5,1,1163,5433,485,844,14,98,33737,4,7732,0.000148205,2.96E-05,"Sherman Oaks,",2,59.1,36.73,53.2,-32,3,-30,-39,-35,18,2020/3/16,2020/5/27,FALSE,TRUE,FALSE,2.397938144,1,1,0,1,2,2,5,4,4,2,5,3.75,3.75,3.75
184,91502,2020/3/19,1,1,247,3815,78,744,27,96,11598,1,8687,8.62E-05,8.62E-05,"Burbank,",1,59.1,36.73,53.2,-32,3,-30,-39,-35,18,2020/3/19,2020/5/27,TRUE,FALSE,FALSE,3.166666667,0,0,1,0,0,1,3,1,10,2,2,4,3.75,3.75
185,91604,2020/3/19,3,1,1383,8665,502,754,56,93,32117,5,6235,9.34E-05,3.11E-05,"Studio City,",2,59.1,36.73,53.2,-32,3,-30,-39,-35,18,2020/3/19,2020/5/27,FALSE,TRUE,FALSE,2.75498008,0,1,0,3,0,0,4,1,0,4,1,2.25,1.25,1.5
186,91606,2020/3/19,3,1,1449,5651,538,742,30,96,44476,3,13344,6.75E-05,2.25E-05,"North Hollywood,",1,59.1,36.73,53.2,-32,3,-30,-39,-35,18,2020/3/17,2020/5/27,TRUE,FALSE,FALSE,2.69330855,2,0,0,4,1,1,4,3,8,4,4,4.75,4,4.75
187,91723,2020/3/19,1,1,644,5472,260,759,32,96,18875,2,8125,5.30E-05,5.30E-05,"Covina,Unincorporated - Covina,",2,59.1,36.73,53.2,-32,3,-30,-39,-35,18,2020/3/19,2020/5/27,FALSE,TRUE,FALSE,2.476923077,0,0,0,0,2,0,1,1,0,3,2,1.25,0.5,1.5
188,91733,2020/3/19,1,0,1211,8870,475,727,44,94,44968,6,6731,2.22E-05,0,"Unincorporated - South El Monte,South El Monte,Pellissier Village,Whittier Narrows",1,59.1,36.73,53.2,-32,3,-30,-39,-35,18,2020/3/19,2020/5/27,TRUE,FALSE,FALSE,2.549473684,0,0,0,0,0,2,1,0,0,0,0,0.25,0.75,0
189,91754,2020/3/19,2,0,1040,6238,431,938,25,97,33058,4,7294,6.05E-05,0,"Monterey Park,University Hills,",2,59.1,36.73,53.2,-32,3,-30,-39,-35,18,2020/3/17,2020/5/27,FALSE,TRUE,FALSE,2.412993039,0,1,0,0,0,1,0,0,1,0,0,0.25,0.5,0.25
