ZIP,date,confirmed_cases,new_confirmed_cases,device_count,distance_traveled_from_home,completely_home_device_count,median_home_dwell_time,median_non_home_dwell_time,median_percentage_time_home,population,Density_Per_Sq_Mile,cases_adjusted_by_pop,new_cases_adjusted_by_pop,Income_level,driving,transit,walking,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,stay_home_ratio,ave_new7_10after
91306,2020/3/20,1,1,1637,4819,740,707,16,98,49158,11879,2.03E-05,2.03E-05,2,56.79,33.16,53.02,-40,-5,-29,-44,-41,22,2.212162162,1.5
91316,2020/3/20,8,2,893,6599,440,773,2,100,29964,5984,0.000266987,6.67E-05,2,56.79,33.16,53.02,-40,-5,-29,-44,-41,22,2.029545455,2
91330,2020/3/20,1,0,193,41126,17,0,581,0,3273,9598,0.00030553,0,2,56.79,33.16,53.02,-40,-5,-29,-44,-41,22,11.35294118,1
91335,2020/3/20,2,1,3073,4977,1326,648,15,98,80524,12265,2.48E-05,1.24E-05,2,56.79,33.16,53.02,-40,-5,-29,-44,-41,22,2.317496229,3.25
91340,2020/3/20,1,1,929,5407,367,587,30,95,36227,10714,2.76E-05,2.76E-05,2,56.79,33.16,53.02,-40,-5,-29,-44,-41,22,2.53133515,0.25
91342,2020/3/20,1,0,3449,8739,1345,666,33,95,96487,1750,1.04E-05,0,2,56.79,33.16,53.02,-40,-5,-29,-44,-41,22,2.564312268,4
91344,2020/3/20,4,0,2795,6490,1257,719,10,99,53266,3245,7.51E-05,0,2,56.79,33.16,53.02,-40,-5,-29,-44,-41,22,2.22354813,0.25
91350,2020/3/20,4,1,2627,5148,1134,820,17,98,37350,2204,0.000107095,2.68E-05,2,56.79,33.16,53.02,-40,-5,-29,-44,-41,22,2.316578483,6.25
91356,2020/3/20,6,1,1296,4416,643,914,4,100,30804,4200,0.00019478,3.25E-05,2,56.79,33.16,53.02,-40,-5,-29,-44,-41,22,2.0155521,2.5
91364,2020/3/20,4,1,1159,3819,529,675,15,98,27340,3600,0.000146306,3.66E-05,2,56.79,33.16,53.02,-40,-5,-29,-44,-41,22,2.190926276,2
91381,2020/3/20,1,0,1291,5993,632,994,4,100,20371,541,4.91E-05,0,2,56.79,33.16,53.02,-40,-5,-29,-44,-41,22,2.042721519,0.25
91401,2020/3/20,3,2,1417,4521,641,601,10,98,41412,11993,7.24E-05,4.83E-05,2,56.79,33.16,53.02,-40,-5,-29,-44,-41,22,2.210608424,0.75
91405,2020/3/20,1,0,1940,4762,815,550,22,96,55384,16737,1.81E-05,0,1,56.79,33.16,53.02,-40,-5,-29,-44,-41,22,2.380368098,1.5
91406,2020/3/20,1,1,2011,6273,829,606,17,97,55215,6789,1.81E-05,1.81E-05,2,56.79,33.16,53.02,-40,-5,-29,-44,-41,22,2.425814234,2
91423,2020/3/20,6,1,1066,4108,508,593,15,98,33737,7732,0.000177846,2.96E-05,2,56.79,33.16,53.02,-40,-5,-29,-44,-41,22,2.098425197,3.75
91502,2020/3/20,1,0,215,6761,92,407,15,96,11598,8687,8.62E-05,0,1,56.79,33.16,53.02,-40,-5,-29,-44,-41,22,2.336956522,3.75
91604,2020/3/20,3,0,1292,9696,512,568,54,91,32117,6235,9.34E-05,0,2,56.79,33.16,53.02,-40,-5,-29,-44,-41,22,2.5234375,1.5
91606,2020/3/20,5,2,1406,5126,556,569,26,96,44476,13344,0.00011242,4.50E-05,1,56.79,33.16,53.02,-40,-5,-29,-44,-41,22,2.528776978,4.75
91723,2020/3/20,1,0,628,6418,237,659,26,96,18875,8125,5.30E-05,0,2,56.79,33.16,53.02,-40,-5,-29,-44,-41,22,2.64978903,1.5
91733,2020/3/20,1,0,1141,7613,435,592,23,96,44968,6731,2.22E-05,0,1,56.79,33.16,53.02,-40,-5,-29,-44,-41,22,2.622988506,0
91754,2020/3/20,2,0,1050,6285,453,854,12,99,33058,7294,6.05E-05,0,2,56.79,33.16,53.02,-40,-5,-29,-44,-41,22,2.317880795,0.25
