ZIP,week,confirmed_cases,new_confirmed_cases,device_count,distance_traveled_from_home,completely_home_device_count,median_home_dwell_time,median_non_home_dwell_time,median_percentage_time_home,population,Density_Per_Sq_Mile,cases_adjusted_by_pop,new_cases_adjusted_by_pop,Income_level,stay_home_ratio,driving,transit,walking,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,week3
90006,2020/5/10,980,234,1484,3433,649,800,19,97,61698,32134,0.015883821,0.003792667,1,0.437331536,67.0,28.0,68.0,-47.0,-9.0,-27.0,-44.0,-43.0,18.0,229
90007,2020/3/22,1,1,1532,115913,392,257,437,37,41716,16909,2.4e-05,2.4e-05,1,0.255874674,58.0,37.0,55.0,-35.0,-3.0,-28.0,-39.0,-33.0,16.0,37
90007,2020/3/29,9,11,1548,132846,404,281,619,31,41716,16909,0.000215745,0.0002637,1,0.260981912,45.0,27.0,46.0,-45.0,-21.0,-38.0,-51.0,-46.0,22.0,29
90007,2020/4/5,44,37,1608,145300,546,322,433,42,41716,16909,0.001054751,0.000886964,1,0.339552239,45.0,25.0,47.0,-45.0,-21.0,-42.0,-52.0,-49.0,22.0,33
90007,2020/4/12,73,29,1493,150809,569,357,396,47,41716,16909,0.001749928,0.000695133,1,0.381111855,42.0,21.0,40.0,-53.0,-28.0,-59.0,-58.0,-52.0,25.0,70
90007,2020/4/19,104,33,1433,149716,502,364,421,46,41716,16909,0.002493048,0.000791004,1,0.35031402700000003,49.0,23.0,49.0,-53.0,-23.0,-44.0,-52.0,-47.0,22.0,54
90007,2020/4/26,174,70,1486,142578,496,324,406,44,41716,16909,0.004171060999999999,0.001677998,1,0.333781965,54.0,25.0,55.0,-55.0,-19.0,-39.0,-51.0,-46.0,21.0,42
90007,2020/5/3,228,54,1249,80472,490,446,264,62,41716,16909,0.005465529,0.001294424,1,0.392313851,59.0,26.0,59.0,-50.0,-16.0,-34.0,-47.0,-45.0,19.0,63
90007,2020/5/10,268,42,1044,3852,529,674,11,98,41716,16909,0.006424394,0.0010067639999999998,1,0.506704981,67.0,28.0,68.0,-47.0,-9.0,-27.0,-44.0,-43.0,18.0,41
90008,2020/3/22,3,3,899,5228,336,578,38,93,31739,8641,9.45e-05,9.45e-05,1,0.37374861,58.0,37.0,55.0,-35.0,-3.0,-28.0,-39.0,-33.0,16.0,27
90008,2020/3/29,10,8,879,5439,369,682,28,96,31739,8641,0.00031507,0.000252,1,0.419795222,45.0,27.0,46.0,-45.0,-21.0,-38.0,-51.0,-46.0,22.0,18
90008,2020/4/5,37,27,931,4973,439,738,10,98,31739,8641,0.001165758,0.000850633,1,0.471535983,45.0,25.0,47.0,-45.0,-21.0,-42.0,-52.0,-49.0,22.0,12
90008,2020/4/12,55,18,857,5305,432,822,4,99,31739,8641,0.001732884,0.000567063,1,0.504084014,42.0,21.0,40.0,-53.0,-28.0,-59.0,-58.0,-52.0,25.0,15
