ZIP,date_start - date_end,Predictd new cases,cases/10000 population
90028,2020/5/17 - 2020/5/23,-0.9679441,-0.314942
90029,2020/4/5 - 2020/4/11,18.550768,4.89492
90029,2020/4/12 - 2020/4/18,16.67854,4.4009
90029,2020/4/19 - 2020/4/25,35.336605,9.32413
90029,2020/4/26 - 2020/5/2,69.22671,18.26659
90029,2020/5/3 - 2020/5/9,59.60601,15.72801
90029,2020/5/10 - 2020/5/16,43.984516,11.60603
90029,2020/5/17 - 2020/5/23,67.71086,17.86661
90031,2020/4/12 - 2020/4/18,7.6877513,1.995
90031,2020/4/19 - 2020/4/25,9.073889,2.35471
90031,2020/4/26 - 2020/5/2,22.67976,5.8855
90031,2020/5/3 - 2020/5/9,22.624174,5.87107
90031,2020/5/10 - 2020/5/16,39.5793,10.271
90031,2020/5/17 - 2020/5/23,35.591385,9.23612
90032,2020/4/12 - 2020/4/18,6.6643934,1.39929
90032,2020/4/19 - 2020/4/25,8.650303,1.81626
90032,2020/4/26 - 2020/5/2,24.307291,5.10368
90032,2020/5/3 - 2020/5/9,19.82724,4.16303
90032,2020/5/10 - 2020/5/16,16.531998,3.47114
90032,2020/5/17 - 2020/5/23,15.105124,3.17155
90033,2020/4/5 - 2020/4/11,21.455608,4.50909
90033,2020/4/12 - 2020/4/18,19.370758,4.07094
90033,2020/4/19 - 2020/4/25,19.981598,4.19931
90033,2020/4/26 - 2020/5/2,36.06371,7.57912
90033,2020/5/3 - 2020/5/9,59.686035,12.54356
90033,2020/5/10 - 2020/5/16,66.14179,13.9003
90033,2020/5/17 - 2020/5/23,66.97368,14.07513
90034,2020/4/5 - 2020/4/11,24.376863,4.38023
90034,2020/4/12 - 2020/4/18,20.524742,3.68805
90034,2020/4/19 - 2020/4/25,21.894333,3.93415
90034,2020/4/26 - 2020/5/2,29.120922,5.23268
90034,2020/5/3 - 2020/5/9,22.7992,4.09674
90034,2020/5/10 - 2020/5/16,35.415897,6.36381
90034,2020/5/17 - 2020/5/23,17.453947,3.13627
90035,2020/4/5 - 2020/4/11,19.198858,6.83598
90035,2020/4/12 - 2020/4/18,11.082259,3.94597
90035,2020/4/19 - 2020/4/25,10.112267,3.60059
90035,2020/4/26 - 2020/5/2,13.207928,4.70284
90035,2020/5/3 - 2020/5/9,6.5033383,2.31559
90035,2020/5/10 - 2020/5/16,4.5266933,1.61178
90035,2020/5/17 - 2020/5/23,5.639041,2.00785
90036,2020/4/5 - 2020/4/11,20.092842,5.28926
90036,2020/4/12 - 2020/4/18,9.760773,2.56944
90036,2020/4/19 - 2020/4/25,2.0089746,0.528845
90036,2020/4/26 - 2020/5/2,9.813261,2.58325
90036,2020/5/3 - 2020/5/9,8.601538,2.26428
90036,2020/5/10 - 2020/5/16,2.5439174,0.669663
90036,2020/5/17 - 2020/5/23,1.0072722,0.265155
90037,2020/4/12 - 2020/4/18,21.369251,3.28677
90037,2020/4/19 - 2020/4/25,23.68678,3.64322
90037,2020/4/26 - 2020/5/2,44.82847,6.89499
90037,2020/5/3 - 2020/5/9,48.741848,7.4969
90037,2020/5/10 - 2020/5/16,47.095425,7.24367
90037,2020/5/17 - 2020/5/23,41.312874,6.35426
90039,2020/4/5 - 2020/4/11,19.698343,6.65732
90039,2020/4/12 - 2020/4/18,20.030043,6.76942
90039,2020/4/19 - 2020/4/25,17.093975,5.77714
90039,2020/4/26 - 2020/5/2,24.623318,8.32178
90039,2020/5/3 - 2020/5/9,18.6922,6.31728
90039,2020/5/10 - 2020/5/16,19.825377,6.70025
90039,2020/5/17 - 2020/5/23,14.988329,5.06551
90040,2020/4/26 - 2020/5/2,9.182818,7.26202
90040,2020/5/3 - 2020/5/9,3.7277775,2.94802
90040,2020/5/10 - 2020/5/16,0.764062,0.60424
90040,2020/5/17 - 2020/5/23,4.466633,3.53233
90041,2020/4/5 - 2020/4/11,16.803211,5.69292
90041,2020/4/12 - 2020/4/18,4.732445,1.60335
90041,2020/4/19 - 2020/4/25,4.8249125,1.63468
90041,2020/4/26 - 2020/5/2,18.442883,6.24844
90041,2020/5/3 - 2020/5/9,16.113508,5.45925
90041,2020/5/10 - 2020/5/16,9.636058,3.26469
90041,2020/5/17 - 2020/5/23,12.790728,4.33349
90042,2020/4/12 - 2020/4/18,11.158578,1.74596
90042,2020/4/26 - 2020/5/2,24.776348,3.8767
90042,2020/5/3 - 2020/5/9,17.42619,2.72663
90042,2020/5/10 - 2020/5/16,19.337364,3.02567
90042,2020/5/17 - 2020/5/23,12.292105,1.92332
90043,2020/4/5 - 2020/4/11,22.423275,5.0246
90043,2020/4/12 - 2020/4/18,29.350647,6.57688
90043,2020/4/26 - 2020/5/2,70.169365,15.72352
90043,2020/5/3 - 2020/5/9,76.585976,17.16135
90043,2020/5/10 - 2020/5/16,81.38659,18.23707
90043,2020/5/17 - 2020/5/23,66.79182,14.96668
90044,2020/4/5 - 2020/4/11,20.375957,2.1129
90044,2020/4/12 - 2020/4/18,27.646828,2.86686
90044,2020/4/19 - 2020/4/25,28.124767,2.91642
90044,2020/4/26 - 2020/5/2,61.402428,6.36717
90044,2020/5/3 - 2020/5/9,74.06353,7.68007
90044,2020/5/10 - 2020/5/16,55.34779,5.73933
90044,2020/5/17 - 2020/5/23,48.034847,4.98101
90045,2020/4/5 - 2020/4/11,17.380049,4.22369
90045,2020/4/12 - 2020/4/18,2.5849223,0.628186
90045,2020/4/19 - 2020/4/25,0.9597844,0.233246
90045,2020/4/26 - 2020/5/2,10.613107,2.57919
90045,2020/5/3 - 2020/5/9,7.3655944,1.78998
90045,2020/5/10 - 2020/5/16,5.9298935,1.44108
90045,2020/5/17 - 2020/5/23,5.426689,1.31879
90046,2020/4/5 - 2020/4/11,24.879177,4.9181
90046,2020/4/12 - 2020/4/18,33.148487,6.55277
90046,2020/4/19 - 2020/4/25,22.43401,4.43474
90046,2020/4/26 - 2020/5/2,33.618584,6.6457
90046,2020/5/3 - 2020/5/9,36.63535,7.24205
90046,2020/5/10 - 2020/5/16,26.829489,5.30363
90046,2020/5/17 - 2020/5/23,17.207973,3.40166
90047,2020/4/12 - 2020/4/18,14.805737,3.02881
90047,2020/4/19 - 2020/4/25,17.074682,3.49297
90047,2020/4/26 - 2020/5/2,37.713566,7.71507
90047,2020/5/3 - 2020/5/9,44.482746,9.09984
90047,2020/5/10 - 2020/5/16,33.721867,6.89849
90047,2020/5/17 - 2020/5/23,29.005396,5.93364
90048,2020/4/12 - 2020/4/18,5.774546,2.52252
90048,2020/4/19 - 2020/4/25,1.3789425,0.602369
90048,2020/4/26 - 2020/5/2,14.001355,6.11627
90048,2020/5/3 - 2020/5/9,9.59757,4.19254
90048,2020/5/10 - 2020/5/16,5.3864527,2.35298
90048,2020/5/17 - 2020/5/23,3.82315,1.67008
90049,2020/4/5 - 2020/4/11,21.414118,5.79324
90049,2020/4/12 - 2020/4/18,11.465508,3.1018
90049,2020/4/19 - 2020/4/25,3.7209015,1.00663
90049,2020/4/26 - 2020/5/2,11.127291,3.0103
90049,2020/5/3 - 2020/5/9,5.2807574,1.42862
90049,2020/5/10 - 2020/5/16,2.7101002,0.733173
90049,2020/5/17 - 2020/5/23,3.5931358,0.972064
90056,2020/4/12 - 2020/4/18,0.019074237,0.0244698
90056,2020/4/19 - 2020/4/25,-2.4911983,-3.19589
90056,2020/4/26 - 2020/5/2,-2.2094133,-2.8344
90056,2020/5/3 - 2020/5/9,-2.9258587,-3.75351
90056,2020/5/10 - 2020/5/16,-3.6682851,-4.70595
90056,2020/5/17 - 2020/5/23,-0.7966122,-1.02195
90058,2020/5/17 - 2020/5/23,-0.3004107,-1.08923
90059,2020/4/12 - 2020/4/18,10.813878,2.3533
90059,2020/4/19 - 2020/4/25,9.257968,2.0147
90059,2020/4/26 - 2020/5/2,22.400293,4.87472
90059,2020/5/3 - 2020/5/9,16.662745,3.62612
90059,2020/5/10 - 2020/5/16,15.724923,3.42203
90059,2020/5/17 - 2020/5/23,15.772192,3.43232
90061,2020/4/5 - 2020/4/11,21.59875,7.81261
90061,2020/4/12 - 2020/4/18,10.21054,3.69332
90061,2020/4/19 - 2020/4/25,8.299164,3.00194
90061,2020/4/26 - 2020/5/2,18.24641,6.60002
90061,2020/5/3 - 2020/5/9,22.935606,8.29618
90061,2020/5/10 - 2020/5/16,23.719757,8.57982
90061,2020/5/17 - 2020/5/23,20.25168,7.32536
90064,2020/4/12 - 2020/4/18,-0.6882385,-0.270651
90064,2020/4/19 - 2020/4/25,-2.5742145,-1.01231
90064,2020/4/26 - 2020/5/2,2.177869,0.856451
90064,2020/5/3 - 2020/5/9,0.863636,0.339626
90064,2020/5/10 - 2020/5/16,-0.0632263,-0.0248639
90064,2020/5/17 - 2020/5/23,-0.2970736,-0.116825
90065,2020/4/12 - 2020/4/18,15.613672,3.26052
90065,2020/4/19 - 2020/4/25,19.507301,4.07361
90065,2020/4/26 - 2020/5/2,33.397938,6.97432
90065,2020/5/3 - 2020/5/9,32.633686,6.81473
90065,2020/5/10 - 2020/5/16,26.677856,5.571
90065,2020/5/17 - 2020/5/23,28.607344,5.97393
90066,2020/4/5 - 2020/4/11,20.15734,3.39383
90066,2020/4/12 - 2020/4/18,18.310366,3.08286
90066,2020/4/19 - 2020/4/25,11.696654,1.96933
90066,2020/4/26 - 2020/5/2,24.323038,4.0952
90066,2020/5/3 - 2020/5/9,16.439138,2.76781
90066,2020/5/10 - 2020/5/16,11.54548,1.94388
90066,2020/5/17 - 2020/5/23,8.711168,1.46667
90068,2020/4/5 - 2020/4/11,22.576185,10.75979
90068,2020/4/12 - 2020/4/18,14.47065,6.8967
90068,2020/4/19 - 2020/4/25,6.171498,2.94133
90068,2020/4/26 - 2020/5/2,11.597691,5.52745
90068,2020/5/3 - 2020/5/9,10.824017,5.15872
90068,2020/5/10 - 2020/5/16,8.73728,4.16418
90068,2020/5/17 - 2020/5/23,7.6677074,3.65442
90069,2020/4/5 - 2020/4/11,26.822678,13.12585
90069,2020/4/12 - 2020/4/18,19.52132,9.55288
90069,2020/4/19 - 2020/4/25,13.480482,6.59676
90069,2020/4/26 - 2020/5/2,18.051243,8.83349
90069,2020/5/3 - 2020/5/9,14.647593,7.16789
90069,2020/5/10 - 2020/5/16,9.326725,4.56409
90069,2020/5/17 - 2020/5/23,6.4043427,3.13401
90077,2020/4/12 - 2020/4/18,0.99116784,1.10215
90077,2020/4/19 - 2020/4/25,-0.5236374,-0.582272
90077,2020/4/26 - 2020/5/2,1.6714686,1.85863
90077,2020/5/3 - 2020/5/9,0.04455226,0.049541
90077,2020/5/10 - 2020/5/16,-1.1196502,-1.24502
90077,2020/5/17 - 2020/5/23,-0.6419515,-0.713835
90094,2020/4/5 - 2020/4/11,16.776335,17.90813
90094,2020/4/12 - 2020/4/18,-0.6417496,-0.685044
90094,2020/4/19 - 2020/4/25,-4.8223844,-5.14772
90094,2020/4/26 - 2020/5/2,-1.1015372,-1.17585
90094,2020/5/3 - 2020/5/9,-2.271135,-2.42435
90094,2020/5/10 - 2020/5/16,-3.8338711,-4.09252
90094,2020/5/17 - 2020/5/23,-2.4270568,-2.5908
90201,2020/4/12 - 2020/4/18,34.52721,3.37071
90201,2020/4/19 - 2020/4/25,39.942196,3.89935
90201,2020/4/26 - 2020/5/2,93.96509,9.17332
90201,2020/5/3 - 2020/5/9,90.17651,8.80346
90201,2020/5/10 - 2020/5/16,71.79913,7.00937
90201,2020/5/17 - 2020/5/23,57.491932,5.61264
90210,2020/4/5 - 2020/4/11,35.57698,17.8698
90210,2020/4/12 - 2020/4/18,27.49596,13.81082
90210,2020/4/19 - 2020/4/25,6.0021763,3.01481
90210,2020/4/26 - 2020/5/2,12.968341,6.51381
90210,2020/5/3 - 2020/5/9,15.885843,7.97923
90210,2020/5/10 - 2020/5/16,10.456899,5.25235
90210,2020/5/17 - 2020/5/23,10.10468,5.07543
90220,2020/4/12 - 2020/4/18,18.584429,3.46059
90220,2020/4/19 - 2020/4/25,25.82927,4.80965
90220,2020/4/26 - 2020/5/2,49.289303,9.17813
90220,2020/5/3 - 2020/5/9,64.42767,11.99703
90220,2020/5/10 - 2020/5/16,52.093605,9.70032
90220,2020/5/17 - 2020/5/23,51.62201,9.6125
90221,2020/4/19 - 2020/4/25,3.5049758,0.669886
90221,2020/4/26 - 2020/5/2,15.505507,2.96348
90221,2020/5/3 - 2020/5/9,7.151658,1.36685
90221,2020/5/10 - 2020/5/16,5.2363744,1.0008
90221,2020/5/17 - 2020/5/23,3.5538347,0.679224
90222,2020/4/19 - 2020/4/25,0.1958298,0.0596133
90222,2020/4/26 - 2020/5/2,9.361361,2.84973
90222,2020/5/3 - 2020/5/9,2.3962035,0.729438
90222,2020/5/10 - 2020/5/16,-0.15120554,-0.0460291
90222,2020/5/17 - 2020/5/23,0.8083722,0.24608
90230,2020/4/5 - 2020/4/11,17.244375,5.25615
90230,2020/4/12 - 2020/4/18,7.849694,2.39262
90230,2020/4/19 - 2020/4/25,2.6148322,0.797011
90230,2020/4/26 - 2020/5/2,9.11082,2.77701
90230,2020/5/3 - 2020/5/9,8.807011,2.68441
90230,2020/5/10 - 2020/5/16,5.1957006,1.58367
90230,2020/5/17 - 2020/5/23,18.02864,5.4952
90241,2020/4/12 - 2020/4/18,27.573088,6.24631
