ZIP,date_start - date_end,Predictd new cases,cases/10000 population
90035,2020/5/3 - 2020/5/9,3.0503142,1.0861
90035,2020/5/10 - 2020/5/16,3.1030345,1.10487
90035,2020/5/17 - 2020/5/23,3.3387115,1.18879
90036,2020/4/5 - 2020/4/11,22.306967,5.87211
90036,2020/4/12 - 2020/4/18,9.518229,2.50559
90036,2020/4/19 - 2020/4/25,1.0273815,0.270449
90036,2020/4/26 - 2020/5/2,7.7137084,2.03056
90036,2020/5/3 - 2020/5/9,5.47527,1.44132
90036,2020/5/10 - 2020/5/16,2.0853217,0.548942
90036,2020/5/17 - 2020/5/23,-0.5165913,-0.135988
90037,2020/4/12 - 2020/4/18,22.05594,3.39239
90037,2020/4/19 - 2020/4/25,22.02548,3.3877
90037,2020/4/26 - 2020/5/2,45.268906,6.96273
90037,2020/5/3 - 2020/5/9,41.437325,6.3734
90037,2020/5/10 - 2020/5/16,42.580276,6.5492
90037,2020/5/17 - 2020/5/23,33.49403,5.15166
90039,2020/4/5 - 2020/4/11,23.115938,7.81234
90039,2020/4/12 - 2020/4/18,18.472157,6.24291
90039,2020/4/19 - 2020/4/25,13.950609,4.7148
90039,2020/4/26 - 2020/5/2,22.75167,7.68923
90039,2020/5/3 - 2020/5/9,15.071739,5.0937
90039,2020/5/10 - 2020/5/16,15.835761,5.35191
90039,2020/5/17 - 2020/5/23,9.288145,3.13905
90040,2020/4/26 - 2020/5/2,13.894669,10.98827
90040,2020/5/3 - 2020/5/9,4.954322,3.91801
90040,2020/5/10 - 2020/5/16,2.2998233,1.81876
90040,2020/5/17 - 2020/5/23,2.673022,2.1139
90041,2020/4/5 - 2020/4/11,20.16349,6.83138
90041,2020/4/12 - 2020/4/18,4.5055375,1.52647
90041,2020/4/19 - 2020/4/25,3.2287934,1.09391
90041,2020/4/26 - 2020/5/2,16.216988,5.4943
90041,2020/5/3 - 2020/5/9,11.859481,4.01798
90041,2020/5/10 - 2020/5/16,6.9197917,2.34442
90041,2020/5/17 - 2020/5/23,7.8783813,2.66919
90042,2020/4/12 - 2020/4/18,12.193771,1.90793
90042,2020/4/26 - 2020/5/2,22.204556,3.47429
90042,2020/5/3 - 2020/5/9,14.497098,2.26833
90042,2020/5/10 - 2020/5/16,17.086672,2.67351
90042,2020/5/17 - 2020/5/23,10.240629,1.60233
90043,2020/4/5 - 2020/4/11,24.866756,5.57213
90043,2020/4/12 - 2020/4/18,27.726976,6.21305
90043,2020/4/26 - 2020/5/2,67.25787,15.07112
90043,2020/5/3 - 2020/5/9,67.18857,15.05559
90043,2020/5/10 - 2020/5/16,70.17457,15.72469
90043,2020/5/17 - 2020/5/23,51.181725,11.46878
90044,2020/4/5 - 2020/4/11,26.509289,2.7489
90044,2020/4/12 - 2020/4/18,28.14075,2.91808
90044,2020/4/19 - 2020/4/25,28.281853,2.93271
90044,2020/4/26 - 2020/5/2,61.29216,6.35573
90044,2020/5/3 - 2020/5/9,67.75349,7.02575
90044,2020/5/10 - 2020/5/16,60.74991,6.29951
90044,2020/5/17 - 2020/5/23,44.986153,4.66487
90045,2020/4/5 - 2020/4/11,21.948982,5.33403
90045,2020/4/12 - 2020/4/18,3.9037414,0.948684
90045,2020/4/19 - 2020/4/25,1.7890334,0.43477
