ZIP,date_start - date_end,Predicted new cases,cases/10000 population
90045,2020/4/5 - 2020/4/8,0.18736964,0.045534435
90045,2020/4/6 - 2020/4/9,0.64790934,0.157454457
90045,2020/4/7 - 2020/4/10,-0.7938887,-0.192930251
90045,2020/4/8 - 2020/4/11,-0.1607395,-0.039062795
90045,2020/4/9 - 2020/4/12,-0.2284024,-0.055506186
90045,2020/4/10 - 2020/4/13,0.38559648,0.093707377
90045,2020/4/11 - 2020/4/14,0.16087562,0.039095876
90045,2020/4/12 - 2020/4/15,-0.7431868,-0.180608708
90045,2020/4/13 - 2020/4/16,0.087144874,0.021177884
90045,2020/4/14 - 2020/4/17,0.37097952,0.090155172
90045,2020/4/15 - 2020/4/18,0.38388872,0.093292357
90045,2020/4/16 - 2020/4/19,0.4487802,0.109062239
90045,2020/4/17 - 2020/4/20,1.6905977,0.41084781
90045,2020/4/18 - 2020/4/21,1.8336582,0.445614284
90045,2020/4/19 - 2020/4/22,3.0328655,0.73704477
90045,2020/4/20 - 2020/4/23,2.6680515,0.648387927
90045,2020/4/21 - 2020/4/24,0.85517246,0.207823387
90045,2020/4/22 - 2020/4/25,0.62865514,0.152775313
90045,2020/4/23 - 2020/4/26,0.41090885,0.099858769
90045,2020/4/24 - 2020/4/27,-0.20977966,-0.050980501
90045,2020/4/25 - 2020/4/28,0.46691138,0.113468462
90045,2020/4/26 - 2020/4/29,0.0774894,0.018831417
90045,2020/4/27 - 2020/4/30,0.26936272,0.065460331
90045,2020/4/28 - 2020/5/1,0.22494902,0.054666946
90045,2020/4/29 - 2020/5/2,-0.44831204,-0.108948466
90045,2020/4/30 - 2020/5/3,0.43669203,0.106124579
90045,2020/5/1 - 2020/5/4,2.114733,0.513920868
90045,2020/5/2 - 2020/5/5,1.5574685,0.378494868
90045,2020/5/3 - 2020/5/6,0.22294335,0.054179531
90045,2020/5/4 - 2020/5/7,0.88534504,0.215155907
90045,2020/5/5 - 2020/5/8,0.24446328,0.059409288
90045,2020/5/6 - 2020/5/9,-1.0220288,-0.248372695
90045,2020/5/7 - 2020/5/10,-0.8335375,-0.202565681
